dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.9,0.82,0.86,0.82,0.87,0.87,0.75,0.85,0.77,0.82,0.82,0.91,0.85,0.81,0.86,0.85,0.86,0.86,0.88,0.8,0.87,0.81,0.83,0.87,0.87,0.9,0.77,0.77,0.82,0.85
Adiac,0.8388746803069054,0.8337595907928389,0.80306905370844,0.8107416879795396,0.8695652173913043,0.8388746803069054,0.8286445012787724,0.8260869565217391,0.8235294117647058,0.8235294117647058,0.8158567774936062,0.8312020460358056,0.8107416879795396,0.8260869565217391,0.8312020460358056,0.8363171355498721,0.8439897698209718,0.8337595907928389,0.8209718670076727,0.8491048593350383,0.8158567774936062,0.8644501278772379,0.8491048593350383,0.8414322250639387,0.8414322250639387,0.8516624040920716,0.8286445012787724,0.8491048593350383,0.8695652173913043,0.8414322250639387
ArrowHead,0.8514285714285714,0.8914285714285715,0.8628571428571429,0.8914285714285715,0.8857142857142857,0.9028571428571428,0.8857142857142857,0.8971428571428571,0.9028571428571428,0.8914285714285715,0.8685714285714285,0.8685714285714285,0.8171428571428572,0.9028571428571428,0.9028571428571428,0.8857142857142857,0.8514285714285714,0.9085714285714286,0.8742857142857143,0.8857142857142857,0.92,0.8742857142857143,0.8514285714285714,0.8514285714285714,0.8971428571428571,0.8914285714285715,0.9542857142857143,0.8571428571428571,0.9028571428571428,0.8571428571428571
BME,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,0.9866666666666667,0.9866666666666667,0.9933333333333333
Beef,0.7666666666666667,0.8,0.8,0.7333333333333333,0.8666666666666667,0.6,0.8333333333333334,0.6333333333333333,0.9,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.6,0.9333333333333333,0.7666666666666667,0.8,0.8,0.6333333333333333,0.8666666666666667,0.7666666666666667,0.9,0.7,0.7666666666666667,0.7,0.7,0.7333333333333333,0.8,0.7,0.8
BeetleFly,0.9,1.0,0.95,0.95,1.0,1.0,1.0,0.95,0.9,1.0,0.9,0.95,0.85,0.95,0.85,1.0,0.95,1.0,1.0,0.95,0.95,1.0,0.95,1.0,0.9,0.95,0.95,1.0,0.85,1.0
BirdChicken,0.9,0.85,0.8,0.95,1.0,0.95,0.9,0.75,0.9,0.9,0.9,0.9,0.95,0.9,0.85,0.95,1.0,0.9,0.9,0.95,0.9,0.95,1.0,0.9,0.85,0.9,0.9,0.9,0.9,0.9
CBF,0.9966666666666667,0.9966666666666667,0.9688888888888889,0.9988888888888889,0.9977777777777778,0.9811111111111112,0.9988888888888889,0.9955555555555555,0.9977777777777778,0.9988888888888889,0.9955555555555555,0.9988888888888889,0.9966666666666667,0.9977777777777778,0.9944444444444445,0.9988888888888889,0.9977777777777778,0.9988888888888889,0.9833333333333333,0.9966666666666667,0.9733333333333334,0.9988888888888889,0.9977777777777778,1.0,0.9977777777777778,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9944444444444445,0.9988888888888889
Car,0.9166666666666666,0.9,0.9333333333333333,0.9666666666666667,0.8666666666666667,0.9166666666666666,0.9,0.9666666666666667,0.9,0.95,0.9,0.9,0.9166666666666666,0.9666666666666667,0.9,0.9,0.9166666666666666,0.9,0.9,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9833333333333333,0.9166666666666666,0.9333333333333333,0.95,0.9166666666666666,0.9333333333333333,0.9166666666666666,0.9333333333333333
Chinatown,0.9854227405247813,0.9650145772594753,0.9825072886297376,0.967930029154519,0.9620991253644315,0.9591836734693877,0.9650145772594753,0.967930029154519,0.9766763848396501,0.9650145772594753,0.9708454810495627,0.9620991253644315,0.9737609329446064,0.9737609329446064,0.9708454810495627,0.9533527696793003,0.9591836734693877,0.9650145772594753,0.9708454810495627,0.9620991253644315,0.9620991253644315,0.967930029154519,0.9591836734693877,0.956268221574344,0.9650145772594753,0.9650145772594753,0.9737609329446064,0.9650145772594753,0.9650145772594753,0.9591836734693877
